context,p,decision
27,0,"[np.float64(0.059460446167096864), np.float64(-0.06278445794719642)]"
27,1,"[0.10469727008727327, 0.08877510122074891]"
27,2,"[np.float64(0.09826106576835733), np.float64(-0.01729145243000836)]"
27,3,"[0.125772371131155, 0.03310024971429701]"
28,0,"[np.float64(-0.17230982789675117), np.float64(0.125485671702996)]"
28,1,"[-0.06367081139078644, -0.011266485894997763]"
28,2,"[-0.09286689400402279, 0.0036892931788858815]"
28,3,"[-0.10826297636052812, 0.016622932390642397]"
29,0,"[np.float64(-0.24325235849446783), np.float64(0.204113748760803)]"
29,1,"[0.03646361550582615, 0.08693686275723225]"
29,2,"[-0.08832298644338615, 0.17052585677402712]"
29,3,"[np.float64(-0.14733755483151895), np.float64(0.18294600969197247)]"
30,0,"[np.float64(0.1543612423246056), np.float64(-0.05425170064310844)]"
30,1,"[0.05973655416000571, -0.034157807272940585]"
30,2,"[0.1091602185746638, -0.00975438905991402]"
30,3,"[np.float64(0.13231231496294302), np.float64(-0.040016448878217786)]"
31,0,"[np.float64(0.1311401514898925), np.float64(-0.045015336028537564)]"
31,1,"[-0.00723187240150919, -0.04022166926027139]"
31,2,"[np.float64(0.12686317070076336), np.float64(-0.062264699341491286)]"
31,3,"[np.float64(0.12715332762973358), np.float64(-0.04572197574284882)]"
32,0,"[np.float64(0.18307843924515826), np.float64(-0.02696152962386441)]"
32,1,"[0.08979401640670082, 0.05659178085408344]"
32,2,"[0.08979401640670082, 0.05659178085408344]"
32,3,"[np.float64(0.17676085955025914), np.float64(0.005897358086757287)]"
33,0,"[np.float64(0.42967826357087524), np.float64(-0.04994893555583514)]"
33,1,"[0.0731077573804539, -0.09479383104321296]"
33,2,"[np.float64(0.19560181418489536), np.float64(-0.07467541731922417)]"
33,3,"[np.float64(0.32239255334884526), np.float64(-0.07711512686751389)]"
34,0,"[np.float64(-0.05681782812721107), np.float64(-0.05996486264381412)]"
34,1,"[-0.053656771212743315, 0.1333421911484752]"
34,2,"[-0.049108319684015286, 0.10288027475712125]"
34,3,"[np.float64(-0.053001885491342576), np.float64(-0.012983381693334267)]"
35,0,"[np.float64(-0.06385095762332815), np.float64(0.0027880487561964817)]"
35,1,"[0.06449080872374927, 0.05308870765336243]"
35,2,"[np.float64(-0.0313468641227259), np.float64(0.009689677487219966)]"
35,3,"[np.float64(0.024301701679424456), np.float64(0.02021367291402345)]"
36,0,"[np.float64(0.21988168539692637), np.float64(-0.19048920786103984)]"
36,1,"[-0.0015855551160607467, 0.05379969252836723]"
