context,p_value,agent,satisfaction
34,1,69.0,0.44005078206254333
34,1,98.0,0.05928295504547679
34,1,94.0,0.13505896938719875
34,1,1.0,0.26452131874596724
34,2,82.0,0.17210861675267936
34,2,91.0,0.2982626512971523
34,2,24.0,0.32697067271582503
34,2,52.0,0.0028531585084178024
34,2,49.0,0.5486682027615826
34,2,60.0,0.6961902886953529
34,2,69.0,0.41635870492398364
34,2,98.0,0.03559087790691706
34,2,94.0,0.15875104652575847
34,2,1.0,0.24082924160740754
34,3,82.0,0.18452700310056472
34,3,91.0,0.3106810376450376
34,3,24.0,0.3393890590637104
34,3,52.0,0.00956522783946756
34,3,49.0,0.561086589109468
34,3,60.0,0.7086086750432383
34,3,69.0,0.42877709127186897
34,3,98.0,0.048009264254802425
34,3,94.0,0.1463326601778731
34,3,1.0,0.2532476279552929
35,0,86.0,0.28930683254952105
35,0,41.0,0.6204372238181712
35,0,52.0,0.16136286220199642
35,0,31.0,0.2618732580037262
35,0,47.0,0.05261465466216245
35,0,92.0,0.08872046033814729
35,0,56.0,0.009539372875532054
35,0,19.0,0.4943897991845715
35,0,16.0,0.03755782214811143
35,0,3.0,0.08181583190894828
35,0,98.0,0.574506542130921
35,0,90.0,0.2669325812834662
35,0,59.0,0.035725172085915385
35,0,26.0,0.29011209421398476
35,0,99.0,0.2539660586010522
35,0,7.0,0.34785568541835654
35,0,84.0,0.07334576966381434
35,0,93.0,0.02450159613249364
35,0,49.0,0.14371855318658094
35,0,24.0,0.37763400981546347
