context,p,decision
13,3,"[np.float64(0.0986387175365385), np.float64(-0.04990570593358919)]"
14,0,"[np.float64(0.039307325280438406), np.float64(-0.30829182913006337)]"
14,1,"[0.041843324563997905, -0.377500236645118]"
14,2,"[0.03894086763267636, -0.3286114410203299]"
14,3,"[np.float64(0.03878918075451408), np.float64(-0.32308899940911945)]"
15,0,"[np.float64(0.13200350919264092), np.float64(-0.0019700899134122776)]"
15,1,"[0.23357417750165738, -0.037790201265195805]"
15,2,"[0.16605366209571143, -0.015760111774564337]"
15,3,"[np.float64(0.15263982288915023), np.float64(-0.011379187695370323)]"
16,0,"[np.float64(-0.12590496438953494), np.float64(0.06484029538054971)]"
16,1,"[-0.09589970401266293, 0.1476355155420988]"
16,2,"[-0.11451523597547028, 0.1019203631949944]"
16,3,"[np.float64(-0.12590496438953494), np.float64(0.06484029538054971)]"
17,0,"[np.float64(-0.028159474246418237), np.float64(-0.13165778499040948)]"
17,1,"[-0.056434911831859016, -0.07448547788247878]"
17,2,"[-0.04667801778348227, -0.12172926800814551]"
17,3,"[np.float64(-0.04257175587689931), np.float64(-0.12716937173375978)]"
18,0,"[np.float64(-0.007112622261136001), np.float64(0.14061397409790968)]"
18,1,"[-0.006675252424099179, 0.04234529077757825]"
18,2,"[-0.004981838644724193, 0.10456854020556383]"
18,3,"[np.float64(-0.007094829470076294), np.float64(0.13211341819594116)]"
19,0,"[np.float64(0.10985437848382497), np.float64(-0.0015394920116538827)]"
19,1,"[0.10173032950408717, 0.06728531997983307]"
19,2,"[0.10373777092744052, 0.027993607353711453]"
19,3,"[np.float64(0.106729884908833), np.float64(0.016184198411011888)]"
20,0,"[np.float64(-0.13851952866391826), np.float64(-0.13268278689690366)]"
20,1,"[-0.2549483249888779, -0.2679955118369498]"
20,2,"[-0.1958189056100455, -0.1982201947861461]"
20,3,"[np.float64(-0.14505661223786695), np.float64(-0.1336816411162941)]"
21,0,"[np.float64(-0.051460102096755445), np.float64(-0.25083574909993095)]"
21,1,"[-0.06120444838777565, -0.2855839107644641]"
