context,p_value,agent,satisfaction
28,1,17.0,0.02835217318955202
28,1,81.0,0.717435578772775
28,1,46.0,0.2939905976305421
28,1,55.0,0.019603881064283762
28,1,22.0,0.10220557537297123
28,2,50.0,0.23312055612361277
28,2,10.0,0.3184225347197445
28,2,23.0,0.22415930565409914
28,2,33.0,0.16522810174197866
28,2,27.0,0.27229548927666253
28,2,17.0,0.15012187495138885
28,2,81.0,0.5956658770109382
28,2,46.0,0.17222089586870526
28,2,55.0,0.14137358282612056
28,2,22.0,0.019564126388865573
28,3,50.0,0.28781256043572717
28,3,10.0,0.26373053040763006
28,3,23.0,0.1694673013419847
28,3,33.0,0.11053609742986426
28,3,27.0,0.32698749358877693
28,3,17.0,0.09542987063927441
28,3,81.0,0.6503578813230526
28,3,46.0,0.2269129001808197
28,3,55.0,0.08668157851400615
28,3,22.0,0.03512787792324885
29,0,64.0,0.2084054323962447
29,0,59.0,0.17865995391565187
29,0,96.0,0.10853037808643558
29,0,98.0,0.036685629654005236
29,0,40.0,0.16107193115222657
29,0,38.0,0.4141459154575297
29,0,42.0,0.4923561787692428
29,0,66.0,0.04744946233455444
29,0,71.0,0.39048688224632555
29,0,88.0,0.19226236271480318
29,1,64.0,0.2977904937569788
29,1,59.0,0.26804501527638597
29,1,96.0,0.019145316725701467
29,1,98.0,0.052699431706728875
29,1,40.0,0.2504569925129607
29,1,38.0,0.3247608540967956
29,1,42.0,0.4029711174085087
29,1,66.0,0.041935599026179673
29,1,71.0,0.30110182088559145
29,1,88.0,0.10287730135406906
29,2,64.0,0.2256925919675957
29,2,59.0,0.19594711348700286
29,2,96.0,0.09124321851508457
29,2,98.0,0.01939847008265424
29,2,40.0,0.17835909072357758
29,2,38.0,0.39685875588617875
29,2,42.0,0.47506901919789185
29,2,66.0,0.03016230276320344
29,2,71.0,0.3731997226749746
29,2,88.0,0.17497520314345216
29,3,64.0,0.26350649015338823
29,3,59.0,0.2337610116727954
29,3,96.0,0.053429320329292054
29,3,98.0,0.018415428103138287
29,3,40.0,0.2161729889093701
29,3,38.0,0.3590448577003862
29,3,42.0,0.4372551210120993
29,3,66.0,0.007651595422589086
29,3,71.0,0.335385824489182
29,3,88.0,0.13716130495765966
30,0,58.0,0.24140065691181448
30,0,75.0,0.39699604888573115
30,0,18.0,0.08391162930882022
30,0,62.0,0.2405376693168911
30,0,93.0,0.00947632040845025
30,0,85.0,0.411005216754866
30,0,37.0,0.4411343204257755
30,0,76.0,0.041737504276978
30,0,4.0,0.3285125917248529
30,0,49.0,0.11993713059357758
30,1,58.0,0.21162853839774787
30,1,75.0,0.3672239303716645
30,1,18.0,0.0541395107947536
30,1,62.0,0.2703097878309577
30,1,93.0,0.03924843892251687
30,1,85.0,0.3812330982407994
30,1,37.0,0.41136220191170886
30,1,76.0,0.011965385762911377
30,1,4.0,0.2987404732107863
30,1,49.0,0.14970924910764422
30,2,58.0,0.22879211533941787
30,2,75.0,0.3843875073133345
30,2,18.0,0.0713030877364236
30,2,62.0,0.25314621088928774
30,2,93.0,0.022084861980846863
30,2,85.0,0.39839667518246935
30,2,37.0,0.42852577885337884
30,2,76.0,0.029128962704581384
30,2,4.0,0.31590405015245626
30,2,49.0,0.13254567216597418
30,3,58.0,0.22993824877754834
30,3,75.0,0.385533640751465
30,3,18.0,0.0724492211745541
30,3,62.0,0.2520000774511572
30,3,93.0,0.020938728542716372
30,3,85.0,0.3995428086205999
30,3,37.0,0.42967191229150936
30,3,76.0,0.030275096142711875
30,3,4.0,0.3170501835905868
30,3,49.0,0.1313995387278437
31,0,52.0,0.43843237449751493
31,0,89.0,0.5051582344136026
31,0,65.0,0.10660337949815282
31,0,24.0,0.1313920555131738
31,0,94.0,0.4567228979598786
31,0,7.0,0.590291339893677
31,0,25.0,0.02701000743517154
31,0,54.0,0.25594664638293074
31,0,67.0,0.11706180443658507
31,0,48.0,0.6616901953870329
31,1,52.0,0.26043508229563234
31,1,89.0,0.3271609422117201
31,1,65.0,0.2846006717000354
31,1,24.0,0.04660523668870879
31,1,94.0,0.278725605757996
31,1,7.0,0.4122940476917944
31,1,25.0,0.15098728476671103
31,1,54.0,0.07794935418104816
31,1,67.0,0.060935487765297516
31,1,48.0,0.4836929031851503
31,2,52.0,0.289233320005399
31,2,89.0,0.35595917992148673
31,2,65.0,0.25580243399026875
31,2,24.0,0.01780699897894214
31,2,94.0,0.3075238434677626
31,2,7.0,0.44109228540156104
31,2,25.0,0.12218904705694439
31,2,54.0,0.10674759189081481
31,2,67.0,0.032137250055530864
31,2,48.0,0.5124911408949169
31,3,52.0,0.372051636024319
31,3,89.0,0.43877749594040677
31,3,65.0,0.17298411797134872
31,3,24.0,0.0650113170399779
31,3,94.0,0.3903421594866827
31,3,7.0,0.5239106014204811
31,3,25.0,0.039370731038024354
31,3,54.0,0.18956590790973485
31,3,67.0,0.05068106596338917
31,3,48.0,0.595309456913837
32,0,95.0,0.15471143899471873
32,0,19.0,0.06878328926625453
32,0,99.0,0.6355175654066632
32,0,47.0,0.25494767645735894
32,0,83.0,0.016125971432155453
32,0,11.0,0.14280007410423123
32,0,61.0,0.024051515705755012
32,0,26.0,0.26639118630511366
32,0,9.0,0.20443179442666834
32,0,73.0,0.10954321562726893
32,1,95.0,0.30562749989616955
32,1,19.0,0.08213277163519628
32,1,99.0,0.4846015045052124
32,1,47.0,0.10403161555590813
32,1,83.0,0.16704203233360626
32,1,11.0,0.29371613500568206
32,1,61.0,0.1268645451956958
32,1,26.0,0.11547512540366285
32,1,9.0,0.35534785532811913
