context,p,decision
12,3,"[np.float64(0.10693611872328884), np.float64(0.06707778587991535)]"
13,0,"[np.float64(-0.3788217238208583), np.float64(0.2421670247575053)]"
13,1,"[-0.30686496061899615, 0.28819892864156416]"
13,2,"[-0.3455618545680055, 0.24941356586877161]"
13,3,"[np.float64(-0.3699305264614935), np.float64(0.23945590539111447)]"
14,0,"[np.float64(0.1446795428229633), np.float64(0.3992258603267418)]"
14,1,"[-0.07470980283149303, 0.2809525774906932]"
14,2,"[0.039204060513901615, 0.34210981040141775]"
14,3,"[np.float64(0.1319338632505958), np.float64(0.3890152565020282)]"
15,0,"[np.float64(0.37579883725597085), np.float64(-0.04083329228897069)]"
15,1,"[0.3344994293035036, 0.09906684429191166]"
15,2,"[0.3557022903138374, 0.01761010621026938]"
15,3,"[np.float64(0.3628412189836891), np.float64(-0.0005111643645474666)]"
16,0,"[np.float64(0.21637275652081353), np.float64(-0.39847920489716016)]"
16,1,"[0.21768644699457587, -0.33539525304315737]"
16,2,"[0.2120915040538032, -0.37168479686427786]"
16,3,"[np.float64(0.212693027170196), np.float64(-0.3814621736561462)]"
17,0,"[np.float64(0.05776913225409069), np.float64(-0.3136342128400915)]"
17,1,"[0.01137829928186079, -0.31625799093104057]"
17,2,"[0.04233921786784506, -0.3162215357249719]"
17,3,"[np.float64(0.05776913225409069), np.float64(-0.3136342128400915)]"
18,0,"[np.float64(-0.38566038962590815), np.float64(0.2025901868172551)]"
18,1,"[-0.35233190617116406, 0.17506088094906563]"
18,2,"[-0.37188385052322326, 0.19180127801868985]"
18,3,"[np.float64(-0.38184499441214514), np.float64(0.2003629856299998)]"
19,0,"[np.float64(0.00114330518509808), np.float64(0.2977393808701265)]"
19,1,"[-0.2803785499017561, 0.14625320531512107]"
19,2,"[-0.2694577705606089, 0.1535933788844257]"
19,3,"[np.float64(-0.07107893164218375), np.float64(0.24958921183117916)]"
20,0,"[np.float64(-0.2945884759920815), np.float64(0.3320519134688058)]"
20,1,"[-0.12357929782312023, 0.3398232948072015]"
20,2,"[-0.2202288094280793, 0.3452223678992374]"
20,3,"[np.float64(-0.2945884759920815), np.float64(0.3320519134688058)]"
21,0,"[np.float64(-0.10728331681017977), np.float64(0.1286536204192092)]"
21,1,"[-0.05524027561168024, 0.2238254183265019]"
21,2,"[-0.08885781699012028, 0.17063064958175944]"
21,3,"[np.float64(-0.10222632490865896), np.float64(0.13911688502843328)]"
22,0,"[np.float64(-0.3005311394000644), np.float64(0.012305933547273025)]"
22,1,"[-0.2346489466503082, 0.10909903823171956]"
22,2,"[-0.2744408697561989, 0.061266900397880956]"
22,3,"[np.float64(-0.2902312505681439), np.float64(0.03844225569132229)]"
23,0,"[np.float64(-0.03489116702530032), np.float64(0.04068580775866015)]"
23,1,"[-0.012264598056104435, 0.0061927261907187975]"
23,2,"[-0.023445870492399615, 0.03223754523997134]"
23,3,"[np.float64(-0.0169698830850247), np.float64(0.036267415801525385)]"
24,0,"[np.float64(0.006296837474937183), np.float64(-0.1587587369685186)]"
24,1,"[0.09303241024290124, -0.19339359742862694]"
24,2,"[0.05415038213178676, -0.17606862146778904]"
24,3,"[0.04778508870650921, -0.17349512715214052]"
25,0,"[np.float64(-0.07693428737004326), np.float64(0.20218465440474997)]"
25,1,"[-0.2478837579234388, -0.05744599146128155]"
25,2,"[-0.2181847481664925, -0.054754583609379265]"
25,3,"[-0.2026967343340186, -0.044208435200373104]"
26,0,"[np.float64(0.07095516415047722), np.float64(0.28812109365690075)]"
26,1,"[0.11195169354283857, 0.3042372340725267]"
26,2,"[0.12510324267612605, 0.2842173843219746]"
26,3,"[0.12481631096547574, 0.2857256281766054]"
27,0,"[np.float64(-0.09219245161194811), np.float64(-0.07921824886959447)]"
27,1,"[-0.055881249314323124, -0.028123011327226055]"
27,2,"[-0.04019591042583138, -0.08372808994368383]"
27,3,"[np.float64(-0.09164984245955851), np.float64(-0.09598312654896188)]"
28,0,"[np.float64(0.07154554645333644), np.float64(-0.1783801550055758)]"
28,1,"[-0.018367079606008807, -0.0014300447094272445]"
28,2,"[0.03963996868615194, -0.07300773203754776]"
28,3,"[0.027477617396218748, -0.05496028040656782]"
29,0,"[np.float64(0.14254594885390454), np.float64(-0.07459728997138868)]"
29,1,"[0.09629157518213288, 0.04404696254399125]"
29,2,"[0.08462720417633027, 0.028909084887728097]"
29,3,"[np.float64(0.11445874765845634), np.float64(-0.056695475195304185)]"
30,0,"[np.float64(-0.08144692212270316), np.float64(0.14753150996645698)]"
30,1,"[0.10696417916655451, 0.28543626814814027]"
30,2,"[0.0011354963379642223, 0.23818099230728712]"
30,3,"[0.03257941567574741, 0.2617433443244688]"
31,0,"[np.float64(-0.14149371834443708), np.float64(-0.06855832633405383)]"
31,1,"[-0.17705366079997079, -0.0437411543333794]"
31,2,"[np.float64(-0.14681353920914464), np.float64(-0.06163313967765929)]"
31,3,"[np.float64(-0.1458598150881752), np.float64(-0.06315982689008803)]"
32,0,"[np.float64(-0.026799977496743232), np.float64(0.008289810684468352)]"
32,1,"[0.13928287601590222, -0.03001556159055259]"
32,2,"[-0.0022643290518038067, -0.014224033082615911]"
32,3,"[-0.013993578818795059, -0.008816569003137674]"
33,0,"[np.float64(0.10638139022462487), np.float64(-0.06607778279728208)]"
33,1,"[0.05491478137524661, 0.015459922242005295]"
33,2,"[0.05088913759154752, 0.007456753789069383]"
33,3,"[np.float64(0.0917369395515993), np.float64(-0.06662490691709495)]"
34,0,"[np.float64(-0.004991337291824271), np.float64(-0.033659504777978834)]"
34,1,"[0.2908374142330791, -0.05387019486962413]"
34,2,"[0.2512698717958738, -0.055239130721146376]"
34,3,"[np.float64(0.02794513655620669), np.float64(-0.04639289354116274)]"
35,0,"[np.float64(-0.12435847349892473), np.float64(-0.05819467740716173)]"
35,1,"[0.043741273605281655, -0.06787661187309012]"
35,2,"[0.039982214797580705, -0.08149552654807535]"
35,3,"[0.0450858642661887, -0.07706870859963037]"
36,0,"[np.float64(-0.04282990600470754), np.float64(0.05114230477503005)]"
36,1,"[-0.028660932045389272, 0.10135406656321902]"
36,2,"[-0.028660932045389272, 0.10135406656321902]"
36,3,"[0.019338787626899286, 0.10868163768676249]"
37,0,"[np.float64(-0.07239971651373639), np.float64(-0.04741463986839681)]"
37,1,"[0.03852226811907747, -0.11773279292514113]"
37,2,"[0.04393849935325729, -0.12055806791478578]"
37,3,"[0.014150838605675387, -0.08392906526354753]"
38,0,"[np.float64(0.004794018690608914), np.float64(0.09804448362136166)]"
38,1,"[0.03837091382921836, 0.02515185107367149]"
38,2,"[0.061656289167184145, 0.02784461016937921]"
38,3,"[0.0559655194654856, 0.030014987258184852]"
0,0,"[np.float64(-0.05941506041906218), np.float64(-0.198502992307602)]"
0,1,"[-0.14080621973293345, -0.11891575266545938]"
0,2,"[-0.0809230561576656, -0.16206191501659853]"
0,3,"[np.float64(-0.07255780502028163), np.float64(-0.17619977247721466)]"
1,0,"[np.float64(-0.035246868846061125), np.float64(-0.12855057419475185)]"
1,1,"[-0.05696785062963736, -0.08975949818003172]"
1,2,"[-0.03742511475098262, -0.1027121358802754]"
1,3,"[np.float64(-0.03735162012323541), np.float64(-0.12447731865690576)]"
2,0,"[np.float64(-0.15561170175586936), np.float64(-0.3528702836236456)]"
2,1,"[-0.2712623086536031, -0.15715369146848368]"
2,2,"[-0.26502846582323886, -0.16488406506937442]"
2,3,"[np.float64(-0.2014723891484375), np.float64(-0.28251491061657125)]"
3,0,"[np.float64(-0.253095800461507), np.float64(0.13713397776405845)]"
3,1,"[0.059005104396324656, 0.13423546380028373]"
3,2,"[0.026048870836791055, 0.13082698388044123]"
3,3,"[-0.07575455438422404, 0.1299951865557154]"
4,0,"[np.float64(0.2411230918624419), np.float64(-0.13809515999854605)]"
4,1,"[0.018774151832586745, -0.29219893229324784]"
4,2,"[0.10981173507317674, -0.23860051576028565]"
4,3,"[np.float64(0.22882427075494965), np.float64(-0.14736689307627232)]"
5,0,"[np.float64(-0.1783306144317262), np.float64(0.11429122371314987)]"
5,1,"[0.08807288304180025, 0.008510847296527062]"
5,2,"[-0.07539305783462132, 0.08052893855244392]"
5,3,"[np.float64(-0.12179995342509356), np.float64(0.08665456440050673)]"
6,0,"[np.float64(-0.04768178184837073), np.float64(0.5048976199365636)]"
6,1,"[-0.11698875864227198, 0.4090138259921329]"
6,2,"[-0.07893193128661338, 0.46927364365462687]"
6,3,"[np.float64(-0.056798279958732434), np.float64(0.5051050780134467)]"
7,0,"[np.float64(0.07780803750392207), np.float64(-0.3595957947938125)]"
7,1,"[0.24443714154614019, -0.46131180712055997]"
7,2,"[0.21214443475850353, -0.42002362206516275]"
7,3,"[np.float64(0.07780803750392207), np.float64(-0.3595957947938125)]"
8,0,"[np.float64(0.017120695277684103), np.float64(0.37402507600600043)]"
8,1,"[-0.13279058958662604, 0.40497691678150305]"
8,2,"[-0.08612811373539037, 0.3849206667766166]"
8,3,"[np.float64(-0.012021856584348574), np.float64(0.3794442489268608)]"
9,0,"[np.float64(0.18747877588120002), np.float64(-0.21785700770000285)]"
9,1,"[-0.03190084858590869, -0.014386447267445857]"
9,2,"[0.08339773137509504, -0.10723331604866518]"
9,3,"[np.float64(0.1629051070446624), np.float64(-0.20411643023343143)]"
10,0,"[np.float64(0.1142783140830691), np.float64(-0.01938201356093397)]"
10,1,"[0.02000489466918029, -0.1364819640137837]"
10,2,"[0.06155667889251934, -0.12538734610284225]"
10,3,"[np.float64(0.09735018834282533), np.float64(-0.052417409430502285)]"
11,0,"[np.float64(0.047840045903463455), np.float64(0.030913083640894925)]"
11,1,"[-0.04604314161895019, 0.10745898061931758]"
11,2,"[0.005122069905393434, 0.07484806926807996]"
11,3,"[np.float64(0.04036272292899762), np.float64(0.032515869087113285)]"
12,0,"[np.float64(0.1156517533069986), np.float64(-0.1267641722266146)]"
12,1,"[0.11717602300841154, -0.1886402283217662]"
12,2,"[0.11644183784724435, -0.16695639596672307]"
12,3,"[np.float64(0.11617946067238957), np.float64(-0.13621458560313687)]"
13,0,"[np.float64(0.10084028683350897), np.float64(0.032017074687178654)]"
13,1,"[0.0031912929684733554, -0.03427545533948999]"
13,2,"[0.0031912929684733554, -0.03427545533948999]"
13,3,"[np.float64(0.07520246005789462), np.float64(0.012312144238557754)]"
14,0,"[np.float64(0.27447436652235846), np.float64(0.06390750762085609)]"
14,1,"[0.2287306036435792, 0.18266128344071816]"
14,2,"[0.2634240181650449, 0.12625668623150554]"
14,3,"[np.float64(0.268544804643032), np.float64(0.09703371669285303)]"
15,0,"[np.float64(0.019719788175955873), np.float64(0.06056797101476491)]"
15,1,"[-0.17436052734237747, -0.1790904579258076]"
15,2,"[-0.06847164876240315, -0.043337839686718574]"
15,3,"[np.float64(0.012970331349846258), np.float64(0.02771072579620973)]"
16,0,"[np.float64(-0.09142121501409656), np.float64(-0.3897218031476008)]"
16,1,"[-0.03504472985707548, -0.06554026657481432]"
16,2,"[-0.06459312852163705, -0.21299115682849928]"
16,3,"[np.float64(-0.07683824560232518), np.float64(-0.3014256261170331)]"
17,0,"[np.float64(-0.07863233324046183), np.float64(-0.031204900360231297)]"
17,1,"[-0.06356958216889595, -0.06399545028778736]"
17,2,"[-0.08334585856013593, -0.04244987391089407]"
17,3,"[np.float64(-0.06885865956860307), np.float64(-0.03750135347611523)]"
18,0,"[np.float64(-0.1620288344754415), np.float64(-0.10841048890973395)]"
18,1,"[-0.20336051483406747, -0.06837550122319087]"
18,2,"[-0.20202367699589902, -0.06852323767334528]"
18,3,"[np.float64(-0.16746971268008065), np.float64(-0.10495773866641611)]"
19,0,"[np.float64(0.34287668717543474), np.float64(0.1819819677202551)]"
19,1,"[0.44070226349642827, 0.27528585434162495]"
19,2,"[0.40544959251626744, 0.24298344886628356]"
19,3,"[np.float64(0.3510273969357187), np.float64(0.19809886045491207)]"
20,0,"[np.float64(0.12107403591752876), np.float64(0.11736369866146298)]"
20,1,"[0.16054018297486763, 0.27751113182035825]"
20,2,"[0.13763025994298173, 0.21713156751119572]"
20,3,"[np.float64(0.12107403591752876), np.float64(0.11736369866146298)]"
21,0,"[np.float64(-0.019341251537424137), np.float64(-0.25641357497135736)]"
21,1,"[0.03423230799833771, -0.33260827513319163]"
21,2,"[-0.0027729085007315926, -0.2937906301109132]"
21,3,"[np.float64(-0.02018356890424114), np.float64(-0.25313114242063617)]"
22,0,"[np.float64(0.02789508399353933), np.float64(0.07924274171635733)]"
22,1,"[0.09447273268472234, 0.023217915214159515]"
22,2,"[0.06359689488842207, 0.04615682608498485]"
22,3,"[np.float64(0.04399807267494031), np.float64(0.06340978741973365)]"
23,0,"[np.float64(-0.04977887045958298), np.float64(0.008109598486109558)]"
23,1,"[-0.2166318053400077, -0.3501767096322375]"
23,2,"[-0.10295975183643728, -0.1608100595985381]"
23,3,"[np.float64(-0.05812273793401047), np.float64(-0.01367170922517865)]"
24,0,"[np.float64(-0.16028205481250712), np.float64(-0.20442696434688123)]"
24,1,"[-0.1927925159248948, -0.2780097364553087]"
24,2,"[-0.19173226253866235, -0.27015844321527877]"
24,3,"[np.float64(-0.1672229042628776), np.float64(-0.21456205693452232)]"
25,0,"[np.float64(-0.24279341305348773), np.float64(0.10610490175939315)]"
25,1,"[-0.26914154829473913, 0.1283282257499089]"
25,2,"[-0.248188144901415, 0.12338886523126144]"
25,3,"[-0.24297829209987326, 0.12489113701116161]"
26,0,"[np.float64(0.14393395711381804), np.float64(0.06771323513443644)]"
26,1,"[0.2134712918441377, -0.008894234776670201]"
26,2,"[0.2023118986416488, 0.024436542041479964]"
26,3,"[np.float64(0.19772733552671012), np.float64(0.030773948651300106)]"
27,0,"[np.float64(0.0634060750255202), np.float64(-0.10690951545437095)]"
27,1,"[0.10031626798520643, 0.09201384852947019]"
27,2,"[0.09477429467330292, 0.02872088336691969]"
27,3,"[np.float64(0.06063009620261685), np.float64(-0.10014958249756566)]"
28,0,"[np.float64(-0.25454239643012644), np.float64(-0.02129433383835208)]"
28,1,"[-0.10039827502063463, 0.11627955125458952]"
28,2,"[-0.14184954477371345, 0.08248937103314657]"
28,3,"[np.float64(-0.22376324210684762), np.float64(0.01708814286844343)]"
29,0,"[np.float64(-0.12374325019610546), np.float64(-0.17454654910206602)]"
29,1,"[-0.06481699834465128, -0.06620849372764494]"
29,2,"[-0.08208159386113832, -0.14021925952885267]"
